0,2,3,4,5,6,7,8,9
ps20-51.cpp,ps20-204.cpp(100.0%),ps20-452.cpp(86.9%),,,,,,
ps20-324.cpp,ps20-296.cpp(100.0%),,,,,,,
ps20-432.cpp,ps20-431.cpp(100.0%),,,,,,,
ps20-459.cpp,ps20-458.cpp(100.0%),,,,,,,
ps20-434.cpp,ps20-423.cpp(100.0%),,,,,,,
ps20-367.cpp,ps20-366.cpp(100.0%),,,,,,,
ps20-36.cpp,ps20-31.cpp(100.0%),,,,,,,
ps20-319.cpp,ps20-308.cpp(100.0%),,,,,,,
ps20-137.cpp,ps20-109.cpp(100.0%),,,,,,,
ps20-411.cpp,ps20-331.cpp(98.4%),,,,,,,
ps20-321.cpp,ps20-192.cpp(96.8%),,,,,,,
ps20-262.cpp,ps20-384.cpp(96.7%),ps20-11.cpp(83.8%),ps20-389.cpp(80.6%),ps20-469.cpp(80.6%),,,,
ps20-217.cpp,ps20-95.cpp(96.1%),ps20-442.cpp(96.1%),ps20-112.cpp(84.6%),ps20-274.cpp(80.7%),ps20-289.cpp(80.7%),ps20-446.cpp(80.7%),ps20-59.cpp(80.7%),
ps20-163.cpp,ps20-265.cpp(93.1%),ps20-381.cpp(84.8%),,,,,,
ps20-95.cpp,ps20-442.cpp(92.3%),ps20-112.cpp(84.6%),ps20-446.cpp(80.7%),ps20-200.cpp(80.7%),,,,
ps20-484.cpp,ps20-451.cpp(92.3%),,,,,,,
ps20-207.cpp,ps20-205.cpp(92.3%),,,,,,,
ps20-422.cpp,ps20-435.cpp(91.3%),ps20-103.cpp(81.8%),,,,,,
ps20-468.cpp,ps20-460.cpp(91.1%),,,,,,,
ps20-223.cpp,ps20-333.cpp(90.3%),ps20-490.cpp(84.6%),ps20-176.cpp(83.8%),ps20-343.cpp(82.7%),ps20-111.cpp(80.9%),ps20-18.cpp(80.7%),ps20-384.cpp(80.6%),ps20-465.cpp(80.6%)
ps20-390.cpp,ps20-379.cpp(89.5%),,,,,,,
ps20-176.cpp,ps20-465.cpp(89.1%),ps20-318.cpp(86.4%),ps20-389.cpp(81.0%),ps20-279.cpp(81.0%),,,,
ps20-89.cpp,ps20-140.cpp(89.1%),,,,,,,
ps20-368.cpp,ps20-337.cpp(88.8%),,,,,,,
ps20-293.cpp,ps20-184.cpp(88.0%),,,,,,,
ps20-198.cpp,ps20-430.cpp(86.9%),ps20-445.cpp(86.9%),ps20-157.cpp(86.9%),,,,,
ps20-452.cpp,ps20-204.cpp(86.9%),ps20-244.cpp(84.6%),,,,,,
ps20-148.cpp,ps20-145.cpp(86.9%),,,,,,,
ps20-172.cpp,ps20-153.cpp(86.8%),,,,,,,
ps20-43.cpp,ps20-30.cpp(86.0%),,,,,,,
ps20-70.cpp,ps20-6.cpp(85.7%),,,,,,,
ps20-60.cpp,ps20-224.cpp(85.7%),ps20-335.cpp(85.7%),ps20-287.cpp(85.7%),ps20-110.cpp(85.7%),,,,
ps20-255.cpp,ps20-175.cpp(85.3%),,,,,,,
ps20-444.cpp,ps20-289.cpp(85.2%),,,,,,,
ps20-490.cpp,ps20-421.cpp(84.6%),ps20-111.cpp(80.9%),ps20-18.cpp(80.7%),,,,,
ps20-349.cpp,ps20-425.cpp(84.6%),ps20-373.cpp(82.1%),,,,,,
ps20-465.cpp,ps20-318.cpp(84.2%),,,,,,,
ps20-364.cpp,ps20-363.cpp(84.0%),,,,,,,
ps20-347.cpp,ps20-193.cpp(83.3%),,,,,,,
ps20-376.cpp,ps20-168.cpp(83.3%),,,,,,,
ps20-75.cpp,ps20-485.cpp(82.9%),,,,,,,
ps20-274.cpp,ps20-25.cpp(82.7%),,,,,,,
ps20-346.cpp,ps20-265.cpp(82.7%),,,,,,,
ps20-450.cpp,ps20-161.cpp(82.1%),,,,,,,
ps20-59.cpp,ps20-146.cpp(82.0%),,,,,,,
ps20-389.cpp,ps20-279.cpp(81.5%),,,,,,,
ps20-136.cpp,ps20-130.cpp(81.4%),,,,,,,
ps20-18.cpp,ps20-111.cpp(80.9%),,,,,,,
ps20-469.cpp,ps20-11.cpp(80.6%),,,,,,,
ps20-286.cpp,ps20-220.cpp(80.5%),ps20-164.cpp(80.5%),,,,,,
ps20-131.cpp,ps20-124.cpp(80.4%),,,,,,,
